Nom,adresse,Code postal,Ville,Téléphone,Email,Site web,Texte complémentaire Codelico,Liste de catégories,Type,Pays,urlImg
Entraide haute-bruche,6 rue du chenagoutte,67100,Natzwiller,03 88 97 90 08,Westermannclarisse@neuf.fr,Http://entraidehautebruche.eklablog.com,"Autre tél : 06 74 39 00 26. aide alimentaire, colis d'urgence, et vente produits hygiène à prix réduits. orientation par travailleur social (utams, ccas, mission locale, had schirmeck, epsan, cram cmp molsheim). point de vente également pour les produits d’hygiène. partenaire de la ba67. nous contacter par courriel si pas d'urgence immédiate. résidents de la vallée de la haute-bruche (18 communes). de saales à rothau plus barembach. 2 distributions par mois le vendredi de 16h30 à 18h. adresse de distribution : cour de la mairie à 67570 rothau.","Vie quotidienne, alimentation, aide alimentaire",Association,Fr,
Entraide le relais,20 rue de la montagne verte,67200,Strasbourg,,Chrs@entraide-relais.fr,Http://www.entraide-relais.fr,"Résidence d’accueil de brumath. capacité : 20 logements à brumath. logements autonomes au sein d’une résidence favorisant la vie semi-collective (activités, repas partagés..). présence de trois hôtes en journée. habitat durable, paiement d’un loyer mensuel (ressources soumises au plai). les demandes se font uniquement par le siao 67 puis étude en commission d’admission après entretien avec l’équipe médicale référente de la structure (epsan) et entretien avec les hôtes de la résidence. hommes, femmes en souffrance psychique et en situation de précarité. le projet de vie doit être compatible avec la vie semi-collective. stabilité de santé nécessaire avec soins en cours","Hébergement - logement, centre d'hébergement et de réinsertion sociale, hébergement//résidence sociale",Association,Fr,
Entraide le relais,20 rue de la montagne verte,67200,Strasbourg,,Chrs@entraide-relais.fr,Http://www.entraide-relais.fr,"Capacité : 10 logements. offrir à des familles en difficulté en raison de leurs fragilités sociales, économiques ou éducatives un accompagnement social temporaire et adapté dans un logement, en tant qu’étape intermédiaire vers l’autonomie (accès au logement autonome, bail glissant). mise à disposition temporaire d’un appartement avec un accompagnement social. les familles qui répondent aux critères suivants : - etre dans un parcours d’insertion amorcé avec : -- un travailleur social interne à l’association entraide le relais : par exemple sortant du chrs, en hébergement d’urgence suivi par l’accueil de jour, orienté par l’équipe de prévention spécialisée, -- un travailleur social extérieur : partenaires associatifs ou territoriaux. - etre hébergé de manière précaire et nécessitant un logement, - ayant des ressources suffisantes pour payer un loyer résiduel et des charges locatives, mais inférieures à 60 % du plafond hlm, - acceptant un projet d’accompagnement social adapté à sa situation. les demandes sont à adresser au siao 67.dispositif iobel. 50 logements autonomes dans le parc privé. en partenariat avec le home protestant et l'étage. accompagnement social global des personnes dans la recherche et l'occupation du logement. possibilité de faire glisser le bail. pas de demande directe : commission d'attribution en relation avec l'étage.","Hébergement - logement, centre d'hébergement et de réinsertion sociale, hébergement//logement d'insertion - a bail glissant - intermédiation locative",Association,Fr,
Entraide le relais * accueil de jour - acc. social,24 rue saint louis bp 90039,67000,Strasbourg,03 88 35 67 69,Acjour@entraide-relais.fr,Http://www.entraide-relais.fr,Domiciliation. retrait du courrier lors des permanences en matinée : du lundi au vendredi de 9h à 12h,"Insertion, accompagnement social, domiciliation",Association,Fr,
Entraide le relais accueil de jour - accompagnement social,24 rue saint louis bp 9003,67000,Strasbourg,03 88 35 67 69,Acjour@entraide-relais.fr,Http://www.entraide-relais.fr,"Accompagnement social pour les personnes bénéficiaires du rsa, ou non, domiciliées auprès de l'accueil de jour. tél. : 03 88 24 90 64 fax : 03 88 36 90 36 courriel : rsa@entraide-relais.fr uniquement sur rendez-vous","Insertion, accompagnement social, accompagnement social",Association,Fr,
Entraide le relais accueil de jour - accompagnement social,24 rue saint louis bp 90039,67000,Strasbourg,03 88 35 67 69,Acjour@entraide-relais.fr,Http://www.entraide-relais.fr,"- en matinée (bureaux) : accueil, écoute, domiciliation, information, orientation-urgence, demande de rendez-vous pour suivi social. - en soirée au coffee-bar : accueil, écoute, information, orientation-urgence, animation conviviale. - permanence d'accueil aux bureaux du 1er étage du lundi au vendredi de 9h à 12h. l'après-midi uniquement sur rdv. - coffee-bar le mardi, jeudi, vendredi et dimanche, de 18h à 21h. samedi de 14h à 17h. accueils en soirée sont réduits en juillet-août",Accueil de jour,Association,Fr,
Entraide le relais ateliers passerelle,6 rue des imprimeurs,67200,Strasbourg,03 88 10 34 45,Ateliers@entraide-relais.fr,Http://www.entraide-relais.fr/insertion-vers-l-emploi/ateliers-passerelle,"Pour des personnes en recherche d'emploi ayant besoin d'un parcours d'insertion. : participation à des ateliers collectifs, et accompagnement individuel en parallèle. orientation par un ts. bénéficiaires du rsa en priorité. accueil sur rdv.","Insertion, accompagnement social, accompagnement social",Association,Fr,
Entraide le relais chrs - fsl,20 rue de la montagne verte,67000,Strasbourg,,Chrs@entraide-relais.fr,Http://www.entraide-relais.fr,"La maison d'accueil. 40 places. hébergement en structure regroupée, et éclatée en appartements. participation financière 15% des ressources. accompagnement global. inscriptions pour les demandes uniquement par le siao 67. hommes, femmes, couples avec ou sans enfant, familles monoparent. possibilité d'accueil de femmes avec enfant de moins de 6 mois","Hébergement - logement, centre d'hébergement et de réinsertion sociale, centre d'hébergement et de réinsertion sociale",Association,Fr,
Entraide le relais chrs - fsl,20 rue de la montagne verte,67200,Strasbourg,,Chrs@entraide-relais.fr,Http://www.entraide-relais.fr,Suivi social fsl : tél. : 03 88 10 59 14. courriel : fsl@entraide-relais.fr du mardi au vendredi sur rendez-vous,"Hébergement - logement, centre d'hébergement et de réinsertion sociale, hébergement// accompagnement social lié au logement",Association,Fr,
Femmes de paroles * - home protestant,7 rue de l'abbé lemire,67000,Strasbourg,03 88 23 41 30,Secretariat@homeprotestant.fr,,"Domiciliation postale. public : femmes avec ou sans enfants. lundi de 9h30 à 12h, mardi et vendredi de 14h à 17h. ouvert toute l'année. permanence courrier pendant la période estivale","Insertion, accompagnement social, domiciliation",Association,Fr,
Femmes de paroles - home protestant,7 rue de l'abbé lemire,67200,Strasbourg,03 88 23 41 30,Secretariat@homeprotestant.fr,,"Accueil de jour. ecoute, information, orientation. activités diverses. public : femmes avec ou sans enfants. lundi 9h30 à 12h, mardi et vendredi 14h à 17h, jeudi 10h à16h. ouverture les lundi, mardi et vendredi de 17h à 19h pour les personnes qui ne bénéficient pas d'un hébergement",Accueil de jour,Association,Fr,
Femmes de paroles - home protestant,7 rue de l'abbé lemire,67200,Strasbourg,03 88 23 41 30,Secretariat@homeprotestant.fr,,"12 places au sein du chrs. orientation par le 115. pas d’accès direct.hébergement temporaire pour femmes seules : en errance, demandeuses d’asile, jeunes femmes en rupture familiale, femmes victimes de violences conjugales qu’il faut rapidement mette à l’abri, femmes venant d’autres départements. douche, repas du soir et petit déjeuner. femmes seules",Hébergement d'urgence / mise à l'abri réservé aux femmes,Association,Fr,
Femmes de paroles - home protestant,7 rue de l'abbé lemire,67200,Strasbourg,03 88 23 41 30,Secretariat@homeprotestant.fr,,"Capacité : 1 place au chrs femmes de paroles. orientation exclusivement par le spip + demande du candidat. 1 place pour femme seule sous écrou ayant sollicité au près du juge d’application des peines (jap) un « placement extérieur » en alternative à une condamnation de prison ferme ou en fin de peine de prison. obligation pour ces personnes de respecter les termes de la condamnation (ex : soins, horaires, recherche d’emploi, etc.) participation financière selon ressources. femmes seules de plus de 18 ans","Hébergement - logement, centre d'hébergement et de réinsertion sociale, hébergement/logement ponctue",Association,Fr,
Femmes de paroles - home protestant,7 rue de l'abbé lemire,67000,Strasbourg,03 88 23 41 30,Secretariat@homeprotestant.fr,,"En-cas - possibilité de chauffer un repas. pour les personnes accueillies. public : femmes avec ou sans enfants. repas collectif le jeudi (présence avant 11h30), plats réchauffés en soirée lundi, mardi et vendredi 17h-19h. lundi 9h30 à 12h, mardi et vendredi 14h à 17h, jeudi 10h à 16h.","Vie quotidienne, alimentation, aide alimentaire",Association,Fr,
Femmes de paroles - home protestant,7 rue de l'abbé lemire,67000,Strasbourg,03 88 23 41 30,Secretariat@homeprotestant.fr,,"Douche gratuite sur inscription préalable à 9h à l'accueil. 8 douches hommes et 8 douches femmes. pers. sans domicile fixe n’ayant pas d’autre possibilité de se laver. du lundi au vendredi 9h00 à 11h30, lundi et jeudi 13h45 à 16h30.","Vie quotidienne, hygiène, douche",Association,Fr,
Femmes de paroles - home protestant,7 rue de l'abbé lemire,67000,Strasbourg,03 88 23 41 30,Secretariat@homeprotestant.fr,,"Lave-linge et sèche-linge. sur inscription. participation. public : femmes avec ou sans enfants. lundi de 9h30 à 11h30, mardi de 14h à 17h, jeudi de 10h à 16h, vendredi de 14h à 17h. = horaire pour lancer un lavage/séchage","Vie quotidienne, hygiène, laverie",Association,Fr,
Femmes de paroles - home protestant,7 rue de l'abbé lemire,67200,Strasbourg,03 88 23 41 30,Secretariat@homeprotestant.fr,,"Tél. 03 88 22 98 67 - fax 03 88 29 94 88 - chrsfdp@homeprotestant.fr capacité totale : 28 places (dont 12 en urgence). 15 places insertion. 1 places spip (placement extérieur). appartements éclatés : 7 places. logement d'insertion : 2 places. hébergement et accompagnement vers l’insertion. suivi individualisé par ts. pas d’accès direct. orientation siao, accompagnement global individualisé. participation financière 20 % des revenus. ouvert toute l'année 7j/7. femmes seules.","Hébergement - logement, centre d'hébergement et de réinsertion sociale, centre d'hébergement et de réinsertion sociale réservé aux femmes",Association,Fr,
Femmes de paroles - home protestant,Idem,67000,Strasbourg,,,,"Suivi social à la demande. public : femmes avec ou sans enfants. lundi de 9h30 à 12h, mardi et vendredi de 14h à 17h","Insertion, accompagnement social, accompagnement social",Association,Fr,
France horizon,1 rue jacob mayer,67200,Strasbourg,03 88 28 44 15,Strasbourg@france-horizon.fr,Http://www.france-horizon.fr/,"Accueil d’urgence en appartements éclatés. orientation siao. basé sur le quartier d’hautepierre, composé de 6 appartements pour une capacité de 20 personnes. toute famille avec enfants, ayant besoin d’un toit. lundi, mardi, mercredi et vendredi de 8h30 à 12h30 et de 13h30 à 16h30, jeudi de 13h30 à 16h30, et sur rdv",Hébergement d'urgence / mise à l'abri,Association,Fr,
France horizon,1 rue jacob mayer,67200,Strasbourg,03 88 28 44 15,Strasbourg@france-horizon.fr,Http://www.france-horizon.fr/,"Accueil et accompagnement socio-professionnel global des ménages hébergés. 300 places en logements éclatés (bailleurs sociaux/logements communaux). - orientation par la délégation interministérielle à l'hébergement et à l'accès au logement (dihal). - participation : frais réels (loyer résiduel, factures d’énergie). programmes prévus pour des durées limitées. ménages bénéficiaires de la protection internationale de la france issus des programmes européens de relocalisation et de réinstallation. lundi, mardi, mercredi et vendredi de 8h30 à 12h30 et de 13h30 à 16h30, jeudi de 13h30 à 16h30, et sur rdv.chrs : 65 places réparties en logements sur la cus. durée : 6 mois renouvelables. orientation siao. admission validée par les services de l'etat. participation financière selon ressources (10%). familles françaises rapatriées par le ministère des affaires etrangères, ou rentrant de l'étranger. familles orientées par le siao. possibilité d'accueil de femmes avec enfant de moins de 6 mois. lundi, mardi, mercredi et vendredi de 8h30 à 12h30 et de 13h30 à 16h30, jeudi de 13h30 à 16h30, et sur rdv.","Hébergement - logement, centre d'hébergement et de réinsertion sociale, hébergement/hébergement pour migrants",Association,Fr,
France horizon,1 rue jacob mayer,67200,Strasbourg,03 88 28 44 15,Strasbourg@france-horizon.fr,Http://www.france-horizon.fr/,"65 places réparties en logements sur la cus. durée : 6 mois renouvelables. orientation siao. admission validée par les services de l'etat. participation financière selon ressources (10%). familles françaises rapatriées par le ministère des affaires etrangères, ou rentrant de l'étranger. familles orientées par le siao. possibilité d'accueil de femmes avec enfant de moins de 6 mois. lundi, mardi, mercredi et vendredi de 8h30 à 12h30 et de 13h30 à 16h30, jeudi de 13h30 à 16h30, et sur rdv.","Hébergement - logement, centre d'hébergement et de réinsertion sociale, centre d'hébergement et de réinsertion sociale",Association,Fr,
France horizon,1 rue jacob mayer,67200,Strasbourg,03 88 28 44 15,Strasbourg@france-horizon.fr,Http://www.france-horizon.fr/,"Sds service de suite : 14 logements sur la cus. familles sortant de chrs, d’urgence, ou ayant des revenus et n’ayant pas besoin d’un ccompagnement renforcé. lundi, mardi, mercredi et vendredi de 8h30 à 12h30 et de 13h30 à 16h30, jeudi de 13h30 à 16h30, et sur rdv","Hébergement - logement, centre d'hébergement et de réinsertion sociale, hébergement//logement d'insertion - a bail glissant - intermédiation locative",Association,Fr,
France horizon,1 rue jacob mayer,67000,Strasbourg,03 88 28 44 15,Strasbourg@france-horizon.fr,Http://www.france-horizon.fr/,"Accompagnement social de bénéficiaires du rsa. primo arrivants principalement. lundi, mardi, mercredi et vendredi de 8h30 à 12h30 et de 13h30 à 16h30, jeudi de 13h30 à 16h30, et sur rdv.","Insertion, accompagnement social, accompagnement social",Association,Fr,
Gala - groupement associatif pour le logement et l'accompagnement,1 chemin de dorlisheim,67100,Strasbourg,03 88 49 84 70,Vinfo@gala67.com,,"Projet : permettre un accueil rapide et de courte durée dans un logement, en vue d'une réorientation. 15 à 20 places en f1, f2 ou f3 pour famille et co-location pour personnes isolées. durée : de quelques semaines à 6 mois maximum. candidatures présentées par les structures membres de gala sur le secteur : - unité territoriale d'action médico-sociale de molsheim - csf / apf syndicales de molsheim - cidff - ithaque - mission locale de molsheim - unité territoriale d'action médico-sociale d'erstein - udaf du bas-rhin contrat d'hébergement initial du jour de la signature jusqu'au 15 du mois suivant. le renouvellement du contrat se fait par avenant du 16 au 15 du mois suivant au maximum. participation selon composition familiale et ressources, minimum 3 euros par jour et par personne, payable d'avance. accompagnement par ts. personnes en difficulté sociale, isolées ou familles. bassin d'emploi de molsheim. (non actualisé)","Hébergement - logement, centre d'hébergement et de réinsertion sociale, hébergement/logement temporaire",Association,Fr,
Gala - groupement associatif pour le logement et l'accompagnement,1 chemin de dorlisheim,67100,Molsheim,03 88 49 84 70,Info@gala67.com,,"Projet : mise en situation réelle de locataire dans un logement meublé, en sous-location, avec accompagnement social lié au logement de gala, et un co-accompagnement souhaité du référent de la structure membre ayant présenté le candidat, en vue d'un accès en logement autonome. une dizaine de logements d’insertion à molsheim et mutzig. commission d’accès ouverte à tous les membres de gala, et en particulier aux membres du secteur : - bruche emploi - unité territoriale d'action médico-sociale de molsheim - csf / apf syndicales de molsheim - entraide le relais - mission locale de molsheim - unité territoriale d'action médico-sociale d'erstein - udaf du bas-rhin. bassin d'emploi de molsheim. participation : frais réels. durée : 6 mois, renouvelable. public : personnes en difficulté sociale, personnes isolées ou familles. (non actualisé)","Hébergement - logement, centre d'hébergement et de réinsertion sociale, hébergement//logement d'insertion - a bail glissant - intermédiation locative",Association,Fr,
Gala - groupement associatif pour le logement et l'accompagnement,303a avenue de colmar,67000,Strasbourg,03 88 24 70 00,Info@gala67.com,Http://www.gala-association.org,"Espace de vie sociale et citoyenne : - accueil, information, après-midi, soirées de convivialité et de loisirs. - ateliers nutrition pour les usagers de l'association. - ateliers et activités de resocialisation. - organisation d'expositions à thème. - activités pour familles, et soutien à la parentalité. - sorties culturelles et de loisirs. - possibilité de s’entretenir avec un travailleur social, un médecin ou un psychologue, sur rdv uniquement.pour les usagers de tous les services de gala. (non actualisé",Lieu d'accueil et d'orientation,Association,Fr,
Gala - groupement associatif pour le logement et l'accompagnement,303a avenue de colmar,67100,Strasbourg,03 88 24 70 00,Info@gala67.com,Http://www.gala-association.org,"Institution médico-sociale financée par la sécurité sociale. 30 places en appartements de coordination thérapeutique (act) pour malades atteints d'une pathologie chronique en particulier pour le vih, une hépatite, un cancer ou autres, et en situation de dificulté sociale, et leur famille. (les personnes ne souffrant que d'une pathologie psychiatrique ou que d'une dépendance ne sont pas concernées.) prise en charge médico-psycho-sociale des résidents dans une démarche d'insertion, en vue d'un retour dans le droit commun. en cas de dégradation de la santé, en cours de prise en charge, possibilité de mise en place d'une hospitalisation à domicile (had), de soins palliatifs et d'accompagnement de fin de vie. candidature proposée par l'intéressé lui-même ou par un travailleur social membre ou non de gala. un dossier médical et un dossier social doivent obligatoirement être remplis (téléchargeables sur le site internet de l'association). personnes atteintes du vih (personnes séropositives ou malades), d'une hépatite ou d'une pathologie chronique, isolées ou avec famille, en grande difficulté sociale nécessitant et demandant un accompagnement médico-pycho-social. (lors de l'admission, la capacité de vie autonome en logement est exigée.) territoires de santé 1 et 2 : haguenau/bischwiller, et cus. (non actualisé)","Hébergement - logement, centre d'hébergement et de réinsertion sociale, hébergement//hébergemt-logemt lié à une problématique de santé",Association,Fr,
Gala - groupement associatif pour le logement et l'accompagnement,303a avenue de colmar,67100,Strasbourg,03 88 24 70 00,Info@gala67.com,Http://www.gala-association.org,"Dispositif pour aider les familles à accéder à un logement social. le travailleur social qui établit une demande drp dans le cadre d'un acd doit cocher la case avl. la candidature est orientée par une commission dirigée par l'etat, avec la participation du siao, de gala et des réservataires. ménages bénéficiaires d'un accord collectif départemental (acd) ou ayant été orientés par la commission de médiation dalo. département du bas-rhin. (non actualisé)","Hébergement - logement, centre d'hébergement et de réinsertion sociale, hébergement// accompagnement social lié au logement",Association,Fr,
Gala - groupement associatif pour le logement et l'accompagnement,63a rue romaine,67000,Strasbourg,03 88 91 39 52,Info@gala67.com,,"Projet : mise en situation réelle de locataire dans un logement meublé, en sous-location, avec accompagnemt social lié au logemt de gala, et un co-accompagnemt souhaité du référent de la structure membre ayant présenté le candidat, en vue d'un accès en logement autonome. 6 logemts d’insertion, du f1 au f3, sur saverne et monswiller. commission d’accès ouverte à tous les membres de gala, et en particulier aux membres du secteur : - aapei de saverne / cat - centre communal d’action sociale de saverne. - entraide emploi. - unité territoriale d'action médico-sociale de saverne. - csf / apf syndicales saverne. - mission d'insertion des jeunes de saverne - unité territoriale d'action médico-sociale de bischwiller. - udaf du bas-rhin. participation : frais réels. durée : 6 mois, renouvelable. bassin d'emploi de saverne. personnes en difficulté sociale, personnes isolées ou familles. (non actualisé)","Hébergement - logement, centre d'hébergement et de réinsertion sociale, hébergement//logement d'insertion - a bail glissant - intermédiation locative",Association,Fr,
Gala - groupement associatif pour le logement et l'accompagnement association d'insertion par le logement,303a avenue de colmar,67100,Strasbourg,03 88 24 70 00,Info@gala67.com,Http://www.gala-association.org,"Pass accompagnement : action menée par le conseil général dans le cadre du fsl pour l'aide à la recherche et à l'accès au logement des jeunes avec un accompagnement de gala. accès : dossier envoyé au fsl par une mission locale, une utams ou le spe. nombre de places : 70 places par mois. jeunes de moins de 25 ans, isolés ou couple avec ou sans enfants, ayant des ressources, et en difficulté sociale. l'ensemble du département du bas-rhin. (non actualisé)","Hébergement - logement, centre d'hébergement et de réinsertion sociale, hébergement//logement d'insertion - a bail glissant - intermédiation locative",Association,Fr,
Gala - groupement associatif pour le logement et l'accompagnement association d'insertion par le logement,Idem,67100,Strasbourg,Idem,Idem,Idem,"Projet : mise en situation de locataire dans un logement meublé, en sous-location, avec accompagnemt social lié au logement en vue d'un accès en logemt autonome. une centaine appartemts du studio au f4. conditions d'accès : commission d'accès réservée aux structures membres. durée : 6 mois, renouvelable. participation : frais réels (loyer résiduel, factures d'énergie). aucune demande directe de candidature ; seules les structures membres peuvent présenter une candidature. personnes en difficulté sociale, personnes isolées ou familles. cus, saverne et molsheim. (non actualisé)nombre de places : 70 à 90 logements en bail glissant par mois. mise en situation réelle de locataire dans des logements meublés par les bénéficiaires en vue d'un transfert de bail à leur nom. accès : demande présentée par un travailleur social d'une structure membre de gala ou non sur l'ensemble du département du bas-rhin.personne isolée ou famille en difficulté sociale ayant une proposition éventuelle de relogement en bail glissant présentée par un travailleur social. les personnes doivent être demandeuses d'un accompagnemt social. l'ensemble du département du bas-rhin. (non actualisé)","Hébergement - logement, centre d'hébergement et de réinsertion sociale, hébergement//logement d'insertion - a bail glissant - intermédiation locative",Association,Fr,
Grain de sel - epicerie sociale caritas alsace,20 route ecospace,67100,Molsheim,03 88 04 69 56,Graindesel@caritas-alsace.org,,"Orientation par ts. commission d’admission. durée d’accès de trois mois, renouvelables. les bénéficiaires se doivent de participer à une ou plusieurs actions pédagogiques, éducatives, culturelles : cuisine, gestion du budget familial, classement de papier, alphabétisation, économies d'énergie... tout public en difficulté, sur la comm- comm. molsheim-mutzig. sur rdv mercredi et jeudi 9h-11h30 et 14h-16h30","Vie quotidienne, alimentation, épicerie solidaire",Association,Fr,
Groupe hospitalier sélestat - obernai ch - sélestat,23 avenue louis pasteur,67600,Sélestat,03 88 57 55 55,Service.social@ghso.fr,Http://www.ghso.fr,"Service de gynécologie-obstétrique. tél. : 03 88 57 55 15 consultations d'une sage-femme au planning familial le mardi et vendredi matin, ainsi que d'un gynécologue (toute la semaine) et d'un psychologue le mercredi matin. secteur public. secrétariat ouvert du lundi au vendredi, de 9h à 18h",Accueil et service médicalisés/ planning familial,Association,Fr,
Groupe hospitalier sélestat- obernai ch sélestat csapa,23 avenue louis pasteur,67600,Sélestat,03 88 57 71 95,Addictologie@ghso.fr,Http://www.ghso.fr/,"Consultations : - jeunes consommateurs, - tabac, alcool, cannabis, autres drogues illicites - troubles du comportement alimentaire - addictions sans produit (jeux pathologiques, cyberdépendance...) - ateliers thérapeutiques en groupe. secteur obernai - sélestat - ste marie aux mines.",Accueil et service médicalisés / addictologie,Association,Fr,
Harmonie bowl and juice,5 rue saint-etienne,67000,Strasbourg,,,,Du lundi au samedi à parmr de 18h,"Carillon, panier, café",Entreprise,Fr,
Home protestant résidence sociale foulons ii,15a rue des foulons,67200,Strasbourg,03 88 56 40 70,Secretariat@homeprotestant.fr,,"7 logements d'insertion pour public autonome. hébergement et accompagnement pour femmes avec enfants ou familles : - sorties des chrs ; - ayant besoin d’un accompagnement social pour une première expérience locative ; - en attente d’un logement autonome. pas d’accès direct : uniquement pour les associations partenaires (l'étage, csp, entraide le relais, emmaüs, ville de strasbourg), et par commission. double accompagnement obligatoire. pas de liste d'attente. couple avec ou sans enfant, ou personne isolée avec enfant(s).","Hébergement - logement, centre d'hébergement et de réinsertion sociale, hébergement//résidence sociale",Association,Fr,
Home protestant résidence sociale foulons ii,15a rue des foulons,67200,Strasbourg,03 88 56 40 70,Secretariat@homeprotestant.fr,,"Accompagnement social des femmes seules ou avec enfants, des familles autonomes accédant à un logement locatif social ou privé","Hébergement - logement, centre d'hébergement et de réinsertion sociale, hébergement// accompagnement social lié au logement",Association,Fr,
Horizon amitié,15 rue d'altkirch,67100,Strasbourg,03 88 44 80 10,Cada.jeanchaumien@horizonamitie.fr,,"Le centre d’accueil pour demandeurs d’asile (cada) a pour mission : assurer, accueillir et héberger les demandeurs d’asile, veiller aux respects des usagers, assurer une prise en charge sociale globale et sanitaire, fournir un accompagnement juridique, assurer la scolarisation des enfants, informer les personnes hébergées sur les dispositifs et modalités d’aide au retour volontaire au pays, et gérer les sorties du cada. 90 places en logements cus et hors cus. durée : le temps de la procédure (en moyenne 9 mois). personnes envoyées par l’ofii de strasbourg et de paris exclusivement. familles et personnes isolées demandeuses d'asile. du lundi au vendredi de 8h30-12h30 et 13h30-17h30.","Hébergement - logement, centre d'hébergement et de réinsertion sociale, hébergement/hébergement pour migrants",Association,Fr,
Horizon amitié,6 rue du dépôt,67400,Mundolsheim,03 88 18 18 28,Etape@horizonamitie.fr,,"22 logements (24 places : 2 logements pour couples). accès non gratuit. une redevance est demandée pour intégrer la mr. un accompagnement social léger, le cas échéant, est à assurer par le service qui oriente. commission d'admission. dossier et orientation à faire via le siao avec un rapport social du service qui oriente + si possible courrier du candidat. personnes ou couples sans enfant en situation précaire mais avec ressources, ayant des difficultés à accéder au logement de droit commun mais ne nécessitant pas d'accompagnement social lourd. lundi à vendredi 9h-16h30. samedi fermé. 1 dimanche/2 9h-16h","Hébergement - logement, centre d'hébergement et de réinsertion sociale, hébergement//maison relais",Association,Fr,
Horizon amitié,8 rue du rempart,67000,Strasbourg,03 88 32 06 32,A.printemps@horizonamitie.fr,,"Douche gratuite sur inscription préalable à 9h à l'accueil. 8 douches hommes et 8 douches femmes. pers. sans domicile fixe n’ayant pas d’autre possibilité de se laver. du lundi au vendredi 9h00 à 11h30, lundi et jeudi 13h45 à 16h30.","Vie quotidienne, hygiène, douche",Association,Fr,
Horizon amitié,8 rue du rempart,67000,Strasbourg,03 88 60 43 45,Rsavenir@horizonamitie.fr,,"Domiciliation postale dans le cadre du rsa. possibilité de reversement fractionné de l'allocation. uniquement pour des sdf bénéficiaires du rsa, francophones ou pouvant prétendre à une ouverture de droit rsa. inscription préalable sur une liste d’attente. aux horaires de permanence : lundi, mercredi et vendredi de 9h à 12h. jeudi de 13h45 à 16h45","Insertion, accompagnement social, domiciliation",Association,Fr,
Horizon amitié asll - intermédiation locative,34 rue thomann,67000,Strasbourg,03 88 76 41 76,I.locative@horizonamitie.fr,,Asll accompagnement social lié au logement. - intermédiation locative. - logements en bail glissant. personnes en séjour régulier dont les ressources permettent d'accéder à un logement du parc privé.,"Hébergement - logement, centre d'hébergement et de réinsertion sociale, hébergement//logement d'insertion - a bail glissant - intermédiation locative",Association,Fr,
Horizon amitié asll - intermédiation locative,34 rue thomann,67000,Strasbourg,03 88 76 41 76,I.locative@horizonamitie.fr,,Asll accompagnement social lié au logement - intermédiation locative - logements en bail glissant personnes en séjour régulier dont les ressources permettent d'accéder à un logement du parc privé,"Hébergement - logement, centre d'hébergement et de réinsertion sociale, hébergement// accompagnement social lié au logement",Association,Fr,
Horizon amitié accueil printemps,8 rue du rempart,67000,Strasbourg,03 88 32 06 32,A.printemps@horizonamitie.fr,,"Ecoute, information, orientation, accompagnement social, mise à disposition de jeux de société, activités artistiques, etc. boisson chaude. 2e et 4e mercredis du mois : animation d'ateliers, sur inscription préalable pour les participants. du lundi au vendredi de 9h à 12h, lundi et jeudi de 13h45 à 17h15. 1er, 3e, et 5e mercredis après-midi du mois, de 13h45 à 17h15.",Accueil de jour,Association,Fr,
Horizon amitié accueil printemps,8 rue du rempart,67000,Strasbourg,03 88 32 06 32,A.printemps@horizonamitie.f,,Permanence d'une infirmière généraliste (prévention et orientation) lundi matin et mardi matin. permanence d'une psychologue de l'equipe de liaison psychiatrie et précarité le vendredi de 9h à 12h. permanence addictologie (aide aux personnes souffrant d'une addiction) 2x/mois. personnes fréquentant l’accueil de jour,"Santé, accueil et service médicalisés, accueil médicalisé - soins infirmiers",Association,Fr,
Horizon amitié accueil printemps,8 rue du rempart,67000,Strasbourg,03 88 32 06 32,A.printemps@horizonamitie.fr,,"1€ par machine, sur inscription préalable auprès d’un travailleur social de l’équipe. personnes sans domicile fixe. selon les heurs d'ouverture, du lundi au vendredi de 9h à 11h, lundi et jeudi de 13h45 à 16h.","Vie quotidienne, hygiène, laverie",Association,Fr,
Horizon amitié accueil printemps,8 rue du rempart,67000,Strasbourg,03 88 32 06 32,A.printemps@horizonamitie.fr,,"Diagnostic et accompagnement social vers le droit commun. du lundi au vendredi de 9h à 12h, lundi et jeudi de 13h45 à 17h15. 1er, 3e, et 5e mercredis après-midi du mois, de 13h45 à 17h15.","Insertion, accompagnement social, accompagnement social",Association,Fr,
Horizon amitié chrs jean millot,2 rue d'alger,67000,Strasbourg,03 88 61 01 63,F.millot@horizonamitie.fr,,"37 places en appartements diffus (dont 7 places hébergemt d’urgence spip avec orientation exclusive spip 67 - durée 3 mois maximum). candidature via le siao. durée de séjour : 6 mois, renouvelables si besoin. participation financière selon ressources. hommes et femmes seuls de + de 18 ans, et couples sans enfants. du lundi au vendredi 9h-12h30 et 13h30-17h30.","Hébergement - logement, centre d'hébergement et de réinsertion sociale, centre d'hébergement et de réinsertion sociale",Association,Fr,
